,title,bedrooms,price
1297,"Two bed gite to let, shared pool, Dordogne - AD007154","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£500 to £850 pw
1298,Holiday cottage to rent in Brittany - BM002070_B,"Bedrooms 2, Sleeps 4",£350 to £500 pw
1299,Cosy 2 Bedroom holiday gite in Brittany - BN006622,"Bedrooms 2, Sleeps 4",£280 to £350 pw
1300,"Holiday Cottage for 2, Limousin - UO007576","Bedrooms 1, Sleeps 2",£616 pw
1301,Lovely cottage to let with pool in Dordogne - AD007592,"Bedrooms 2, Sleeps 5",£1675 pw
1302,"Holiday house to let for 6, Siran Languedoc - RH007552","Bedrooms 3, Sleeps 6",£700 to £850 pw
1303,Gite for holiday rental Deux Sevres - PS003202,"Bedrooms 2, Sleeps 4, Ratings 3 9.6/10",£340 to £600 pw
1304,Holiday gite with pool in Dordogne - AD004726,"Bedrooms 6, Sleeps 11, Ratings 2 10/10",£1700 to £2900 pw
1305,Farmhouse rental for holidays Gorges Manche - NM002075,"Bedrooms 3, Sleeps 6",£550 pw
1306,"Pretty stone holiday cottage, pool, Aquitaine - AD007470","Bedrooms 2, Sleeps 4",£495 pw
1307,"Large holiday gite with pool, rural Dordogne - AD006198","Bedrooms 3, Sleeps 8, Ratings 1 10/10",£700 to £1160 pw
1308,Holiday gite in Brittany - BI007765,"Bedrooms 2, Sleeps 4",£990 to £1251 pw
1309,Holiday gite in Limousin - UH005788,"Bedrooms 4, Sleeps 8",£945 to £1120 pw
1310,"Cottage with pool to let nr Le Mans, Loire - LS006939","Bedrooms 3, Sleeps 6",£575 to £1200 pw
1311,"Holiday cottage rental for couples, Brittany - BF003997_B","Bedrooms 1, Sleeps 2",£330 to £340 pw
1312,Pretty holiday cottage in Brittany - BM005400,"Bedrooms 2, Sleeps 4, Ratings 11 9.9/10",£450 to £700 pw
1313,2 bedroom gite on Manor ground in Normandy - NM004907_A,"Bedrooms 3, Sleeps 7, Ratings 6 9.9/10",£295 to £495 pw
1314,"Holiday cottage, shared pool to let Pont-Aven - BF002047_E","Bedrooms 3, Sleeps 6, Ratings 5 9.9/10",£425 to £1225 pw
1315,Gite + pool rental Brittany/Normandy border - BI002340_D,"Bedrooms 3, Sleeps 7",€710 to €990 pw
1316,Holiday let in rural Loire Valley  - VI005100_C,"Bedrooms 1, Sleeps 2",£395 to £495 pw
1317,Cottage with shared pool to let in Ariege - MA005332,"Bedrooms 4, Sleeps 8, Ratings 2 9.8/10",£500 to £650 pw
1318,Lovely gite for family holidays in Gibourne - PM005171,"Bedrooms 4, Sleeps 10",£595 pw
1319,Cottage for holiday rental Loire Atlantique - LA003049,"Bedrooms 2, Sleeps 4, Ratings 4 10/10",£301 to £497 pw
1320,Farmhouse in peaceful location in Brittany - BI004200,"Bedrooms 2, Sleeps 6",£585 pw
1321,"Holiday cottage, shared pool in Brittany - BN002739_A","Bedrooms 5, Sleeps 14, Ratings 4 9.7/10",£500 to £800 pw
1322,Holiday Cottage for 4 in North Brittany - BN007484_A,"Bedrooms 2, Sleeps 4",£300 pw
1323,"Holiday farmhouse, private pool, Dordogne - AD007696","Bedrooms 3, Sleeps 8",£700 to £1300 pw
1324,Holiday gite for 4 in rural Mayenne  - LM005296_B,"Bedrooms 3, Sleeps 6, Ratings 10 9.9/10",€517 to €847 pw
1325,Luxury holiday barn rental in Normandy - NM004626,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£625 to £630 pw
1326,"Luxury gite to let, private pool, Dordogne - AD007719","Bedrooms 1, Sleeps 2",£840 to £965 pw
1327,Holiday gite for let in Brittany - BM005177_D,"Bedrooms 4, Sleeps 8, Ratings 8 9.7/10",£800 pw
1328,Charming gite & private pool to let in Cazals - ML007739,"Bedrooms 2, Sleeps 4",£1495 pw
1329,"Pretty holiday cottage rental, Brittany - BM001294_A","Bedrooms 2, Sleeps 4",£325 to £525 pw
1330,Beautifully renovated barn to let in Charente - PC005445,"Bedrooms 6, Sleeps 14, Ratings 1 9.7/10",£750 to £2995 pw
1331,Family holiday gite to let Charente Maritime - PM004890,"Bedrooms 4, Sleeps 8, Ratings 1 10/10",£500 to £1200 pw
1332,"Windmill & private pool to let, Aquitaine - AT007728","Bedrooms 1, Sleeps 2",£640 to £1103 pw
1333,"Cottage to let in Brittany, Quistinic 5km - BM003431_A","Bedrooms 4, Sleeps 8, Ratings 13 9.9/10",£360 to £600 pw
1334,Family friendly cottage to let in Charente - PC005362,"Bedrooms 2, Sleeps 5, Ratings 2 9.8/10",£850 to £1450 pw
1335,Spacious gite on complex in Charente Maritime - PM005284,"Bedrooms 3, Sleeps 7",£350 to £1000 pw
1336,"Holiday cottage, shared pool, wi-fi, Brittany - BN000920_C","Bedrooms 11, Sleeps 29, Ratings 2 9.8/10",£400 to £2150 pw
1337,Lovely family fishing gite to let in Charente - PC005108,"Bedrooms 3, Sleeps 8, Ratings 7 9.7/10",£545 to £1095 pw
1338,Gite to let with private pool in the Dordogne - AD007083,"Bedrooms 3, Sleeps 6",£650 pw
1339,"18thC Farmhouse & pool to let, Aquitaine - AD007684","Bedrooms 3, Sleeps 8",£1150 to £1525 pw
1340,Rural holiday let in tranquil Normandy - NM004635,"Bedrooms 2, Sleeps 6, Ratings 1 10/10",£360 to £540 pw
1341,"Holiday gites with pool for rental, Dordogne - AD000161_H","Bedrooms 3, Sleeps 6",£450 to £990 pw
1342,Large gite to let in Charente Maritime  - PM005726,"Bedrooms 4, Sleeps 8",£500 to £1200 pw
1343,Holiday let in Perigord near Bergerac - AD004782,"Bedrooms 2, Sleeps 5, Ratings 5 9.8/10",£510 pw
1344,Holiday gite with pool near Toulouse - MA006106,"Bedrooms 3, Sleeps 6",£860 to £1000 pw
1345,Lovely Manoir House to let in Loire Valley - LL006571,"Bedrooms 4, Sleeps 8, Ratings 2 10/10",£950 pw
1346,Holiday cottage with pool in Normandy village - NM005349,"Bedrooms 3, Sleeps 5, Ratings 3 9.8/10",£550 pw
1347,"Cottage rental in Chateau grounds, Manche - NM001773_C","Bedrooms 3, Sleeps 6, Ratings 1 10/10",£390 to £483 pw
1348,"Savoyard cottage to let, Rhone Alps - HH007186","Bedrooms 2, Sleeps 4",£500 pw
1349,Holiday gite in Brittany with private pool - BM007491,"Bedrooms 4, Sleeps 7",£1400 pw
1350,Holiday gite for rental in Brittany - BN000450_B,"Bedrooms 3, Sleeps 6",£520 pw
1351,"Cottage to let on its own island, Aquitaine - AT007152","Bedrooms 2, Sleeps 4, Ratings 1 8.7/10",£650 pw
1352,Large Farmhouse to let with pool in Charente - PC007271,"Bedrooms 5, Sleeps 11, Ratings 1 9.7/10",£650 pw
1353, - PM002983_E,"Bedrooms 2, Sleeps 4",£345 pw
1354,"Lovely small holiday house watersedge, Crozon - BF002860_D","Bedrooms 8, Sleeps 18",£261 to £387 pw
1355,Large cottage to let in the Loire Valley - VR004627,"Bedrooms 2, Sleeps 6, Ratings 2 9.9/10",£375 to £500 pw
1356,Renovated holiday gite in Brittany - BF007735,"Bedrooms 2, Sleeps 4",£455 to £644 pw
1357,"Farmhouse to let with private pool, Aquitaine - AD007398","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£650 to £1225 pw
1358,"Holiday cottage for 6 with pool, near Argeles - RP007264","Bedrooms 3, Sleeps 6",£590 to £990 pw
1359,Holiday cottage with pool to let near Gemozac - PM002756_D,"Bedrooms 3, Sleeps 8",£750 pw
1360,Lovely gite to let with a pool in Auvergne - OP007670,"Bedrooms 4, Sleeps 12",£1925 pw
1361,"Converted barn holiday rental, Maine et Loire - LL004127_A","Bedrooms 6, Sleeps 13, Ratings 13 10/10",€435 to €640 pw
1362,"Holiday home rental near Saumur, Loire Valley - VI001447","Bedrooms 4, Sleeps 8, Ratings 1 9.5/10",£595 pw
1363,Holiday gite & shared pool to let in Brittany - BN002919_C,"Bedrooms 3, Sleeps 6, Ratings 3 8.3/10",€585 to €1230 pw
1364,Rural holiday gite to let nr Castelnaudary - RA007557,"Bedrooms 2, Sleeps 4",€294 pw
1365,Modern stone holiday cottage to let Charente - PC007207,"Bedrooms 2, Sleeps 4, Ratings 1 9.5/10",£1600 to £1800 pw
1366,Holiday cottage in Brittany - BM007510,"Bedrooms 2, Sleeps 5",£510 to £584 pw
1367,Traditional gite for holidays in Brittany - BN007723_B,"Bedrooms 7, Sleeps 17",€395 to €615 pw
1368,Holiday cottage with pool in Brittany - BM005480,"Bedrooms 3, Sleeps 7, Ratings 5 9.6/10",£1050 to £2030 pw
1369,Large holiday cottage in rural Aquitaine - AT005038_A,"Bedrooms 3, Sleeps 8",€995 pw
1370,Self catering gite Loire Valley - VI003422_A,"Bedrooms 9, Sleeps 18",£350 to £1540 pw
1371,"Family friendly gite to let, rural Aquitaine - AT006069","Bedrooms 3, Sleeps 6",£600 to £800 pw
1372,Self catering gite 10 minutes Grignols - AG004072,"Bedrooms 1, Sleeps 4, Ratings 5 9.8/10",£320 pw
1373,"Holiday gite, 2 pools, near Baud, Brittany - BM001973_A","Bedrooms 11, Sleeps 24, Ratings 5 9.2/10",£945 to £1395 pw
1374,Holiday cottage with shared pool nr Poitiers - PV005062,"Bedrooms 1, Sleeps 2, Ratings 2 9.8/10",£371 pw
1375,Holiday let for 2 with private pool near Albi - MT005543,"Bedrooms 1, Sleeps 2, Ratings 1 9.8/10",£379 pw
1376,Cottage for holiday let inBrittany - BM004184,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£399 to £580 pw
1377,Traditional stone house to let in Deux Sevres - PS007770,"Bedrooms 3, Sleeps 6",£600 pw
1378,Spacious holiday gite near the Pyrenees - AP007016,"Bedrooms 3, Sleeps 6",£1050 pw
1379,"House for holiday lets, St Fraigne  Charente  - PC002603","Bedrooms 3, Sleeps 7, Ratings 12 9.3/10",£455 pw
1380,Spacious holiday gite with pool in Dordogne - AD006993,"Bedrooms 4, Sleeps 8",£595 to £900 pw
1381,"Holiday complex, pool and bar near Lamballe - BN002848_D","Bedrooms 2, Sleeps 4",€1000 pw
1382,"Rural gite for holiday rental, pool, Brittany - BM003871_A","Bedrooms 3, Sleeps 6",£525 to £575 pw
1383,Self catering holiday property near Gurs - AP003858,"Bedrooms 4, Sleeps 8",£1800 to £2800 pw
1384,3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_C,"Bedrooms 4, Sleeps 8, Ratings 1 10/10",£385 to £745 pw
1385,3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_A,"Bedrooms 12, Sleeps 24, Ratings 1 10/10",£385 to £795 pw
1386,"Family friendly gite to let with pool, Brux - PV007708","Bedrooms 1, Sleeps 2",£400 to £650 pw
1387,Holiday cottage and pool to rent Brittany - BM002351_E,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£620 pw
1388,Large holiday gite to let in Limousin - UH007236,"Bedrooms 2, Sleeps 6, Ratings 1 10/10",£600 pw
1389,Lovely gite for family holidays in Gibourne - PM005171,"Bedrooms 4, Sleeps 10",£595 pw
1390,"Large holiday gite with pool, Midi Pyrenees - MT006002","Bedrooms 3, Sleeps 9",£830 to £1465 pw
1391,"Holiday gite with pool, rural Aquitaine - AG005798","Bedrooms 1, Sleeps 3, Ratings 6 10/10",£540 to £715 pw
1392,"Gite in Languedoc, Aude for holiday rental - RA005530","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£1050 pw
1393,"Family holiday gite near Sourdeval, Normandy - NM006468","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£500 pw
1394,Recently renovated gite in Charente Maritime - PM006985,"Bedrooms 4, Sleeps 8",£1260 pw
1395,Holiday gite & shared pool to let in Brittany - BN002919_D,"Bedrooms 3, Sleeps 8, Ratings 2 9.3/10",€770 to €1600 pw
1396,Bijoux property with shared pool in Charente - PC006572_B,"Bedrooms 2, Sleeps 4",€740 to €1050 pw
1397,Coastal holiday let nr Caen & Cherbourg - NC004833,"Bedrooms 2, Sleeps 4, Ratings 6 10/10",£490 to £770 pw
1398,Holiday Cottage - Ideal for Fishing! Mayenne - LM003930,"Bedrooms 2, Sleeps 4, Ratings 6 9/10",£500 to £550 pw
1399,"Rural Gite for 2, to let in Calvados Normandy - NC006522","Bedrooms 1, Sleeps 2",£560 pw
1400,"Pretty holiday cottage, shared pool nr Dinan - BN005417","Bedrooms 2, Sleeps 5, Ratings 1 10/10",£265 to £415 pw
1401,Holiday gite for 4 in rural Mayenne  - LM005296_B,"Bedrooms 3, Sleeps 6, Ratings 10 9.9/10",€517 to €847 pw
1402,"Holiday complex, pool and bar near Lamballe - BN002848_F","Bedrooms 1, Sleeps 4",€750 pw
1403,4 * holiday let with pool in Dordogne village - AD005816,"Bedrooms 3, Sleeps 6, Ratings 1 8.8/10",£625 to £1585 pw
1404,"Holiday cottage, shared pool, wi-fi, Brittany - BN000920_A","Bedrooms 4, Sleeps 10, Ratings 4 9.9/10",£750 to £1350 pw
1405,Dog friendly holiday gite in rural Normandy - NM005929,"Bedrooms 3, Sleeps 6, Ratings 14 10/10",£535 to £650 pw
1406,Self catering gite edge of Brenne National Pk - PV003471,"Bedrooms 2, Sleeps 4, Ratings 13 9.9/10",£500 to £945 pw
1407,Spacious gite to let in Limousin with pool - UH004192,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£575 pw
1408,"Holiday Gite to let in Curzon, Vendee - LV006047","Bedrooms 3, Sleeps 6, Ratings 1 9.7/10",£575 to £775 pw
1409,"Holiday cottage, shared pool in Brittany - BN002739_A","Bedrooms 3, Sleeps 8, Ratings 4 9.7/10",£600 to £800 pw
1410,Holiday gite for 6 in Normandy village - NM006363,"Bedrooms 3, Sleeps 6",£385 to £500 pw
1411,House to let in Poitou Charente - PM003349,"Bedrooms 2, Sleeps 5",£250 pw
1412,Holiday gite in rural Normandy near Caen - NO006380,"Bedrooms 2, Sleeps 4, Ratings 12 9.8/10",£355 to £475 pw
1413,"Holiday cottage shared pool, coastal Brittany - BF006986","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£497 to £1274 pw
1414,Detached farmhouse for holiday let Mayenne - LM003502,"Bedrooms 2, Sleeps 5",£600 pw
1415,Luxury holiday barn rental in Normandy - NM004626,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£625 to £630 pw
1416,Holiday gite in Aquitaine with private pool - AT004450,"Bedrooms 4, Sleeps 8, Ratings 3 10/10",£1395 to £2395 pw
1417,Family gite to let in Charente Maritime - PM006648_C,"Bedrooms 2, Sleeps 4",£300 pw
1418,Beautiful gite to let in Charante Maritime - PM007732,"Bedrooms 1, Sleeps 2",£420 pw
1419,Holiday gite & shared pool to let in Brittany - BN002919_D,"Bedrooms 11, Sleeps 24, Ratings 2 9.3/10",€515 to €1600 pw
1420,Holiday cottages/apartments to let nr Benodet - BF000236_I,"Bedrooms 2, Sleeps 5",€960 pw
1421,"Beautiful gite in rural Calvados, Normandy - NC003499","Bedrooms 1, Sleeps 2, Ratings 4 10/10",£495 pw
1422,Farmhouse for holiday rental Lot - ML003197,"Bedrooms 4, Sleeps 10, Ratings 2 9.8/10",£900 to £1800 pw
1423,Cottage to let in rural Normandy - NM004194,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£285 to £585 pw
1424,"Contemporary gite to let with pool, Aquitaine - AD007738_A","Bedrooms 1, Sleeps 2",€750 pw
1425,Holiday gite with pool near Souillac - ML006866,"Bedrooms 3, Sleeps 6",£380 pw
1426,"Large gite to let on rural complex, Dordogne - AD007295","Bedrooms 6, Sleeps 12",£990 to £1500 pw
1427,"Family friendly gite to let with pool, Brux - PV007709","Bedrooms 2, Sleeps 4",£475 to £825 pw
1428,Gite for holiday rental in Loire Valley - VI007690,"Bedrooms 2, Sleeps 4",£630 to £1050 pw
1429,"Holiday cottage shared pool, coastal Brittany - BF006986","Bedrooms 2, Sleeps 4, Ratings 1 10/10",£497 to £1274 pw
1430,1 bedroom gite to let in rural Dordogne - AD005990,"Bedrooms 1, Sleeps 2",£350 to £756 pw
1431,Converted barn to let with pool in Dordogne - AD004850,"Bedrooms 3, Sleeps 8",£1350 pw
1432,"Holiday cottage with shared pool, Brittany - BM007070_A","Bedrooms 7, Sleeps 14, Ratings 1 10/10",£1000 to £2050 pw
1433,Village house to let nr St Tropez (16km) - CV004993,"Bedrooms 1, Sleeps 6, Ratings 2 10/10",£300 pw
1434,Holiday villa in Provence with private pool - CV006583,"Bedrooms 3, Sleeps 6",£800 to £1000 pw
1435,Spacious cottage for rental in Brittany - BM003353,"Bedrooms 2, Sleeps 5, Ratings 5 9.4/10",£325 pw
1436,Spacious holiday gite on complex in Brittany - BM006841,"Bedrooms 3, Sleeps 7",£560 to £995 pw
1437,"Large holiday character gite, rural Normandy - NM006440","Bedrooms 6, Sleeps 12",€1200 to €1500 pw
1438,Holiday cottages/apartments to let nr Benodet - BF000236_H,"Bedrooms 2, Sleeps 5",€540 pw
1439,Vendee farmhouse for holiday rental - LV000815,"Bedrooms 3, Sleeps 7, Ratings 15 9.6/10",£425 pw
1440,"Holiday gite in Aquitaine, by the Pyrenees - AP006372","Bedrooms 2, Sleeps 4, Ratings 1 9/10",£450 to £540 pw
1441,Holiday rental gite with pool in Dordogne - AD004057,"Bedrooms 3, Sleeps 8, Ratings 5 9.9/10",£550 pw
1442,Family friendly cottage to let in Charente - PC005362,"Bedrooms 2, Sleeps 5, Ratings 2 9.8/10",£850 to £1450 pw
1443,Holiday rental & pool nr St Jean-d'Angély - PM000398_D,"Bedrooms 2, Sleeps 4",£550 to £780 pw
1444,"Luxury farmhouse and pool to let, Normandy - NM006457","Bedrooms 5, Sleeps 14, Ratings 8 9.8/10",£1295 pw
1445,Two bedroom holiday gite near Eymet - AT006593,"Bedrooms 2, Sleeps 4",£660 pw
1446,Sunny holiday gite with pool in Dordogne - AD005044,"Bedrooms 3, Sleeps 6, Ratings 12 9.5/10",£795 to £1595 pw
1447,Holiday gite in Brittany with private pool - BM007491,"Bedrooms 4, Sleeps 7",£1400 pw
1448,Lovely farmhouse with pool to let in Dordogne - AD007640,"Bedrooms 5, Sleeps 12",£1800 to £2800 pw
1449,Lovely gite to let with a pool in Auvergne - OP007670,"Bedrooms 4, Sleeps 12",£1925 pw
1450,"Converted Barn to let, sleeps 4, near Saumur - PV007249","Bedrooms 2, Sleeps 4",£570 to £1202 pw
1451,Lovely gite to let on complex in Charente - PC005866,"Bedrooms 3, Sleeps 8",£560 to £1540 pw
1452,"Holiday cottage in Langonnet, Brittany - BM005731","Bedrooms 5, Sleeps 10, Ratings 1 10/10",£630 to £1030 pw
1453,"Holiday cottage, heated pool, wi-fi, Brittany - BM004777","Bedrooms 3, Sleeps 6, Ratings 2 10/10",£750 to £1650 pw
1454,"Holiday cottage, shared pool to let Pont-Aven - BF002047_F","Bedrooms 4, Sleeps 8, Ratings 11 9.8/10",£525 to £1425 pw
1455,"Farmhouse to rent in Brittany, beach 1km - BF003826","Bedrooms 5, Sleeps 14, Ratings 2 9.8/10",£800 to £1200 pw
1456,Holiday house in Languedoc - RP007764,"Bedrooms 2, Sleeps 4",£530 to £592 pw
1457,"Pet Friendly 4-star graded gite, Vienne - PV006979","Bedrooms 3, Sleeps 8, Ratings 1 10/10",£665 pw
1458,Riverside holiday gite with pool in Brittany - BM007289,"Bedrooms 3, Sleeps 6",£720 pw
1459,Holiday gite for 2 in rural Mayenne  - LM005296_A,"Bedrooms 1, Sleeps 2, Ratings 14 9.9/10",€517 to €737 pw
1460,"Converted barn & pool to let, Dordogne  - AD004212","Bedrooms 3, Sleeps 7, Ratings 1 10/10",£775 to £1500 pw
1461,"Gite to let, sleeps 8 near Cognac - PM007529","Bedrooms 3, Sleeps 8",£575 pw
1462,"Large house to let with pool, rural Dordogne - AD005061","Bedrooms 4, Sleeps 8, Ratings 3 10/10",£700 pw
1463,Lovely cottage with a pool to let in Normandy - NM007502,"Bedrooms 6, Sleeps 12, Ratings 1 9.7/10",£1585 to £2075 pw
1464,4 * holiday let with pool in Dordogne village - AD005816,"Bedrooms 3, Sleeps 6, Ratings 1 8.8/10",£625 to £1585 pw
1465,Newly renovated gite to let in Loire Valley  - VE006418,"Bedrooms 2, Sleeps 4",£400 pw
1466,"Converted Barn & shared pool to let, Dordogne - AD007039","Bedrooms 3, Sleeps 5",£700 pw
1467,"Detached waterfront holiday gite, Finistere  - BF003685","Bedrooms 6, Sleeps 12, Ratings 18 9.7/10",£1500 to £2800 pw
1468,Luxury self catering gites rural nr Pontrieux - BN003129_C,"Bedrooms 3, Sleeps 6",£660 to £1098 pw
1469,Riverside gite to let in rural  Aquitaine - AT007411,"Bedrooms 4, Sleeps 8",£1600 pw
1470,Holiday let with pool in rural Western Loire - LL005072_A,"Bedrooms 13, Sleeps 31, Ratings 2 9.7/10",€495 to €1165 pw
1471,"Holiday gite, shared pool, Brittany - BN007657","Bedrooms 3, Sleeps 6",£1434 pw
1472,"Gite with pool, tranquil location nr Bergerac - AT005159","Bedrooms 3, Sleeps 6, Ratings 1 10/10",£1150 pw
1473,"Charming holiday cottage rental, Brittany - BM001294_B","Bedrooms 3, Sleeps 6",£425 to £675 pw
1474,Holiday gite for let in Brittany - BN003065,"Bedrooms 1, Sleeps 3, Ratings 1 10/10",£685 to £760 pw
1475,"Stunning barn conversion to let, Aquitaine - AD007193","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£1395 to £2285 pw
1476,Normandy farmhouse let for holidays in Manche - NM002248,"Bedrooms 6, Sleeps 15, Ratings 10 9.3/10",£775 to £1400 pw
1477,Stylish 4* gite with pool in Lot et Garonne - AL006944,"Bedrooms 2, Sleeps 4, Ratings 3 10/10",£950 pw
1478,Peaceful holiday let in Dordogne with pool - AD004336,"Bedrooms 5, Sleeps 9, Ratings 1 10/10",£1290 to £1990 pw
1479,Gite in Limousin for holiday rental - US004409,"Bedrooms 1, Sleeps 2, Ratings 2 10/10",£335 pw
1480,Holiday let in rural Loire Valley  - VI005100_B,"Bedrooms 1, Sleeps 2",£395 to £495 pw
1481,3 Star Holiday Gite in Dordogne Hamlet - AD006364,"Bedrooms 2, Sleeps 6",£750 pw
1482,Studio with private terrace and views in Aude - RA006805,"Bedrooms 1, Sleeps 2",£371 pw
1483,Holiday let with heated pool in Aquitaine - AT004766,"Bedrooms 3, Sleeps 8, Ratings 3 9.8/10",£800 to £1600 pw
1484,Large holiday let with pool in rural Normandy - NO005191,"Bedrooms 4, Sleeps 8",£1395 pw
1485,Holiday let with pool in rural Western Loire - LL005072_B,"Bedrooms 3, Sleeps 7, Ratings 2 10/10",€795 to €885 pw
1486,Holiday cottage farm near Carnoe - BN004380,"Bedrooms 2, Sleeps 5, Ratings 2 10/10",£300 to £550 pw
1487,Holiday cottages/apartments to let nr Benodet - BF000236_I,"Bedrooms 2, Sleeps 5",€960 pw
1488,"2 Bed holiday cottage nr Le Bugue, Aquitaine - AD004807","Bedrooms 2, Sleeps 4",£450 pw
1489,Stylish 4* gite with pool in Lot et Garonne - AL006956,"Bedrooms 2, Sleeps 5, Ratings 2 9.3/10",£850 pw
1490,Large holiday farmhouses with pool nr Le Lude - LS005060,"Bedrooms 8, Sleeps 18, Ratings 10 9.5/10",£1600 to £3540 pw
1491,Tranquil cottage with own pool nr Saintes - PM003177,"Bedrooms 4, Sleeps 6, Ratings 11 9.9/10",£1020 pw
1492,Holiday cottage rental Brittany coast 10 mins - BM000892_B,"Bedrooms 2, Sleeps 4, Ratings 1 9.8/10",£350 to £575 pw
1493,"Holiday home & heated pool, nr Canal du Midi - RH006856","Bedrooms 3, Sleeps 6",£675 to £875 pw
1494,Lovely farmhouse to let near Mont St Michel  - BI005697,"Bedrooms 4, Sleeps 10",£770 pw
1495,Rural watermill to let in Dordogne village - AD004466_C,"Bedrooms 2, Sleeps 4",€536 pw
1496,Holiday cottage with private pool in Brittany - BN007520,"Bedrooms 4, Sleeps 7",£550 to £700 pw
1497,The Farmhouse for holidays in Brittany - BN001361_A,"Bedrooms 14, Sleeps 35",€1540 to €1715 pw
1498,Holiday cottage to rent in Brittany - BM002070_A,"Bedrooms 4, Sleeps 8",£495 to £645 pw
1499,"Holiday complex, pool and bar near Lamballe - BN002848_I","Bedrooms 2, Sleeps 6",€800 pw
1500,Holiday cottage rental Brittany coast 10 mins - BM000892_A,"Bedrooms 7, Sleeps 12, Ratings 2 10/10",£350 to £575 pw
1501,Holiday cottage in rural Aquitaine with pool - AD005091,"Bedrooms 2, Sleeps 4, Ratings 1 9.7/10",£800 pw
1502,Lovely gite to let with a pool in the Vendee - LV007718_A,"Bedrooms 3, Sleeps 8",€390 to €515 pw
1503,"Pretty Holiday Barn Conversion & pool, Cersay - PS007241","Bedrooms 2, Sleeps 5",£595 to £750 pw
1504,3 Lovely holiday cottages 1 hr from Cherbourg - NM002654_C,"Bedrooms 4, Sleeps 8, Ratings 1 10/10",£385 to £745 pw
1505,Converted barn to let with pool near Poitiers - PV006203,"Bedrooms 2, Sleeps 5, Ratings 5 10/10",£560 to £720 pw
1506,"Holiday house with shared pool, Soreze 3km - MT002148_A","Bedrooms 6, Sleeps 14",£580 pw
1507,"Holiday cottage, hot tub & sauna in Brittany - BN006910","Bedrooms 2, Sleeps 4",£365 to £385 pw
1508,Traditional holiday cottage to let near Lot - ML003980,"Bedrooms 3, Sleeps 6, Ratings 1 10/10",£630 pw
1509,Farmhouse for holiday rental Mayenne - LM003251,"Bedrooms 2, Sleeps 4, Ratings 4 9.4/10",£399 to £689 pw
1510,"Holiday gite with heated pool, Normandy - NO006304","Bedrooms 3, Sleeps 6, Ratings 3 9.9/10",£475 to £925 pw
1511,Holiday Farmhouse for rent nr Chateaubriant - LA007704,"Bedrooms 4, Sleeps 10",£850 pw
1512,Self catering gite in rural Western Loire - LS003541,"Bedrooms 2, Sleeps 4, Ratings 1 10/10",£449 to £999 pw
1513,Holiday rental in Cotes d'Armor - BN002469,"Bedrooms 2, Sleeps 4, Ratings 27 9.8/10",£410 to £680 pw
1514,"Large holiday farmhouse with pool, Aquitaine - AD003584","Bedrooms 3, Sleeps 6, Ratings 1 9.2/10",£695 pw
1515,Luxurious farmhouse & pool to let in Dordogne - AD007634,"Bedrooms 5, Sleeps 10",£2450 to £6000 pw
1516,"Country Cottage, heated pool, nr Vendee coast - LV005648","Bedrooms 4, Sleeps 8, Ratings 3 9.8/10",£1100 to £1700 pw
1517,Village holiday gite in rural Dordogne - AD006516,"Bedrooms 4, Sleeps 7",£700 to £1050 pw
1518,"Beautiful Perigordian house to let, Aquitaine - AD007472","Bedrooms 3, Sleeps 6",£600 to £1050 pw
1519,"Stunning Rural Gite in Normandy, Orne - NO003444_C","Bedrooms 4, Sleeps 11, Ratings 1 10/10",£1017 to £1200 pw
1520,"Holiday cottage with shared pool, Aquitaine - AT007460","Bedrooms 1, Sleeps 2",£480 pw
1521,"Holiday cottage with private pool, Aquitaine - AD007173","Bedrooms 1, Sleeps 2, Ratings 1 10/10",£500 to £640 pw
1522,3 Star Holiday Gite in Dordogne Hamlet - AD006364,"Bedrooms 2, Sleeps 6",£750 pw
1523,Spacious farmhouse & private pool near Jonzac - PM006802,"Bedrooms 6, Sleeps 15",£1295 to £2550 pw
1524,Charente cottage with heated pool and hot tub - PC004080,"Bedrooms 3, Sleeps 6",£845 to £1275 pw
1525,Lovely gite to let in large grounds in Aude  - RA006541,"Bedrooms 2, Sleeps 4",£280 to £720 pw
1526,Farmhouse holiday rental Charente - PC004053,"Bedrooms 3, Sleeps 6, Ratings 5 9.4/10",£645 pw
1527,Holiday let with shared pool in rural Vendée - LV005303,"Bedrooms 3, Sleeps 7",£520 to £1190 pw
1528,"Riverside gite to let, sleeps 7, pets, Dinan - BN006628","Bedrooms 3, Sleeps 7, Ratings 12 10/10",£785 to £890 pw
1529,Lovely gite to let on complex in Charente - PC005895,"Bedrooms 3, Sleeps 6",£455 to £1232 pw
