,title,bedrooms,price
80,"Cosy barn to let with private pool, Aquitaine - AD007468","Bedrooms 1, Sleeps 2, Ratings 1 10/10",£630 to £700 pw
81,Pretty Gite in Normandy for holiday rental - NM005657,"Bedrooms 2, Sleeps 4, Ratings 5 9.7/10",£650 pw
82,Stylish 4* gite with pool in Lot et Garonne - AL006966,"Bedrooms 1, Sleeps 3, Ratings 2 10/10",£675 pw
83,Rural Farmhouse sleeps 8 to let near Civray - PV007262,"Bedrooms 4, Sleeps 8",£525 pw
84,"Farmhouse to let on rural complex, Dordogne - AD007296","Bedrooms 3, Sleeps 7",£400 to £500 pw
85,"Holiday cottage with shared pool, Brittany - BM007070_A","Bedrooms 7, Sleeps 14, Ratings 1 10/10",£1000 to £2050 pw
86,"Holiday let for 5 & shared pool, Deux Sevres - PS007426","Bedrooms 2, Sleeps 5",£556 pw
87,"Rural Gite for 2 to let in Plessala, Brittany - BN006079","Bedrooms 1, Sleeps 2, Ratings 3 9.9/10",£320 to £590 pw
88,"Stone Farmhouse, shared pool in Cotes d'Armor - BN003487_B","Bedrooms 4, Sleeps 10",£600 to £1250 pw
89,Cottage to let in rural Normandy - NM004194,"Bedrooms 2, Sleeps 4, Ratings 2 10/10",£285 to £585 pw
90,Holiday cottage with pool in Western Loire - LV006634_A,"Bedrooms 2, Sleeps 4, Ratings 7 9.7/10",£476 pw
91,"Pretty Gite to let with pool & hot tub, Vidou - MH007286","Bedrooms 2, Sleeps 5",£490 to £630 pw
92,Holiday cottage for 2 in rural Normandy - NM004757,"Bedrooms 1, Sleeps 2, Ratings 1 10/10",£350 pw
93,Tranquil barn for holidays in Aquitaine - AT007354,"Bedrooms 4, Sleeps 8, Ratings 5 10/10",£1200 to £1650 pw
94,Gite with Shared Pool for Holiday in Brittany - BM002903_C,"Bedrooms 3, Sleeps 6",€750 pw
95,Cottage to let in beautiful Sarthe - LS007561,"Bedrooms 5, Sleeps 10",£1920 to £2160 pw
96,"Lovely Holiday Gite in Berneuil, Charente - PC007205","Bedrooms 2, Sleeps 4, Ratings 2 10/10",£650 to £1050 pw
97,"Cottage, holiday rental, Nantes-Brest Canal - BF002666","Bedrooms 3, Sleeps 6, Ratings 5 9.9/10",£375 pw
98,"Stunning barn conversion to let, Aquitaine - AD007193","Bedrooms 4, Sleeps 8, Ratings 1 10/10",£1395 to £2285 pw
99,Gite for holiday rental near Quillan - RA003651,"Bedrooms 1, Sleeps 3, Ratings 7 10/10",£420 pw
100,Holiday house to let in Brittany - BM004444_A,"Bedrooms 9, Sleeps 21",£395 to £1195 pw
101,Gite with Shared Pool for Holiday in Brittany - BM002903_B,"Bedrooms 8, Sleeps 18, Ratings 3 9.4/10",€750 to €1195 pw
102,Spacious cottage to let in Charente Maritime - PM006722,"Bedrooms 3, Sleeps 6, Ratings 2 9.9/10",€675 to €1220 pw
103,"Driftwood, holiday cottage to let in Brittany - BF003359_B","Bedrooms 4, Sleeps 9, Ratings 8 8.8/10",£495 to £650 pw
104,Cottage to let in Brittany - BF004487,"Bedrooms 2, Sleeps 4, Ratings 14 9.8/10",£180 to £290 pw
105,Lovely Gite to let with heated pool in Vendee - LV007525,"Bedrooms 3, Sleeps 6",£630 to £1090 pw
106,House with pool to let near Toulouse sleeps 4 - MT006036,"Bedrooms 2, Sleeps 4",£910 to £1100 pw
107,Family holiday gite nr St Palais de Phiolin - PM004586,"Bedrooms 2, Sleeps 4, Ratings 6 9.8/10",£724 pw
108,A Holiday cottage to rent Jugon les Lacs - BN007357,"Bedrooms 2, Sleeps 4",£400 pw
109,Holiday cottage for rental nr Locmine - BM002322,"Bedrooms 4, Sleeps 8",£420 pw
110,Holiday cottage easy access River Auvezere - AD003413,"Bedrooms 2, Sleeps 4, Ratings 3 9.5/10",£495 pw
111,"Cottage with pool to let nr Le Mans, Loire - LS006939","Bedrooms 3, Sleeps 6",£575 to £1200 pw
112,"Farmhouse to let with pool & lake, Aquitaine - AD007737","Bedrooms 5, Sleeps 10",£1850 to £2500 pw
113,Holiday House for 9 with pool in Charente - PC007272,"Bedrooms 4, Sleeps 9",£550 pw
114,Holiday gite for rental in Brittany - BN000450_A,"Bedrooms 8, Sleeps 15",£260 to £590 pw
115,"Gite to rent for Vienne holiday, Montmorillon - PV002079_A","Bedrooms 1, Sleeps 2",£300 pw
116,Holiday gite & shared pool to let in Brittany - BN002919_B,"Bedrooms 2, Sleeps 4, Ratings 9 9.7/10",€515 to €1090 pw
117,"Luxury holiday farmhouse with pool, Normandy - NM001949_E","Bedrooms 3, Sleeps 6",€650 pw
118,Modern gite in Provence for holiday let - CV004977,"Bedrooms 2, Sleeps 4, Ratings 9 9.7/10",£699 to £1250 pw
